Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,,,,,,,,,
10.2,,,,,,,,,1.185E+01,,,,,,,,,
16.7,,,,,,1.000E-03,,,2.731E+00,,,,,,,,,
21.2,,,,,,4.000E-02,,,1.295E+00,,,,,,,,,
26.8,,,,,,9.900E-02,,,6.305E-01,,,,,,,,,
40.8,,,,,,1.429E-01,,4.289E+01,1.807E-01,,,,,,,,,
80,,,,,,8.500E-02,,8.832E+00,3.400E-02,,,,,,,,,
132.3,,,1.943E-01,,4.624E-01,4.700E-02,,8.002E-01,1.600E-02,,,,,,,,,
151.4,,,1.934E-01,,3.831E-01,3.800E-02,,4.144E-01,1.300E-02,,,,,,,,,
200,,,1.602E-01,,3.007E-01,2.600E-02,3.744E-01,1.642E-01,1.000E-02,,,,,,,,,
300,,,1.052E-01,,2.214E-01,1.500E-02,3.761E+00,1.636E-01,6.700E-03,,,,,,,,,
600,,,4.000E-02,6.676E-01,1.041E-01,5.200E-03,3.098E+00,1.336E-01,2.700E-03,,,,,,,,,
800,9.000E-02,2.791E-01,2.500E-02,6.409E-01,7.000E-02,3.100E-03,1.731E+00,9.900E-02,1.900E-03,,,,,,,,,
1041,6.400E-02,2.117E-01,1.600E-02,5.060E-01,4.800E-02,2.000E-03,9.064E-01,7.000E-02,1.200E-03,,,,,,,,,
1253.6,4.900E-02,1.674E-01,1.200E-02,3.980E-01,3.600E-02,1.400E-03,5.452E-01,5.200E-02,9.500E-04,,,,,,,,,
1486.6,3.800E-02,1.322E-01,9.200E-03,3.052E-01,2.700E-02,1.100E-03,3.330E-01,3.900E-02,6.100E-04,,,,,,,,,
8047.8,1.900E-03,5.700E-03,4.200E-04,5.100E-03,1.000E-03,6.600E-05,7.600E-04,7.200E-04,3.500E-05,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,2.000E+00,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
