Photon Energy / eV,2s,2p,3s,3p,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,,,,,,,,,,,,
21.2,,,,3.801E+01,,,,,,,,,,,,,,
26.8,,,,8.091E+00,,,,,,,,,,,,,,
40.8,,,3.353E-01,7.340E-01,,,,,,,,,,,,,,
80,,,3.698E-01,1.136E+00,,,,,,,,,,,,,,
132.3,,,2.157E-01,7.629E-01,,,,,,,,,,,,,,
151.4,,,1.813E-01,6.309E-01,,,,,,,,,,,,,,
200,,,1.213E-01,4.058E-01,,,,,,,,,,,,,,
300,,2.752E+00,6.300E-02,1.900E-01,,,,,,,,,,,,,,
600,1.439E-01,5.526E-01,1.800E-02,3.800E-02,,,,,,,,,,,,,,
800,8.800E-02,2.533E-01,1.000E-02,1.800E-02,,,,,,,,,,,,,,
1041,5.400E-02,1.193E-01,6.300E-03,9.300E-03,,,,,,,,,,,,,,
1253.6,3.700E-02,6.900E-02,4.300E-03,5.100E-03,,,,,,,,,,,,,,
1486.6,2.600E-02,4.100E-02,3.000E-03,3.400E-03,,,,,,,,,,,,,,
8047.8,4.700E-04,1.300E-04,5.900E-05,1.900E-05,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
