Photon Energy / eV,2s,2p,3s,3p,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,5.221E+00,,,,,,,,,,,,,,
21.2,,,1.714E-01,1.232E+00,,,,,,,,,,,,,,
26.8,,,3.491E-01,4.245E-01,,,,,,,,,,,,,,
40.8,,,4.538E-01,5.090E-01,,,,,,,,,,,,,,
80,,,2.694E-01,4.275E-01,,,,,,,,,,,,,,
132.3,,,1.352E-01,2.059E-01,,,,,,,,,,,,,,
151.4,,4.758E+00,1.087E-01,1.627E-01,,,,,,,,,,,,,,
200,4.228E-01,3.489E+00,6.900E-02,9.500E-02,,,,,,,,,,,,,,
300,2.922E-01,1.501E+00,3.500E-02,3.900E-02,,,,,,,,,,,,,,
600,9.900E-02,2.460E-01,1.000E-02,7.200E-03,,,,,,,,,,,,,,
800,5.700E-02,1.081E-01,5.600E-03,3.000E-03,,,,,,,,,,,,,,
1041,3.400E-02,4.900E-02,3.200E-03,1.500E-03,,,,,,,,,,,,,,
1253.6,2.300E-02,2.700E-02,2.200E-03,8.800E-04,,,,,,,,,,,,,,
1486.6,1.600E-02,1.600E-02,1.400E-03,5.000E-04,,,,,,,,,,,,,,
8047.8,2.300E-04,4.700E-05,3.300E-05,4.600E-06,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,3.000E+00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
