Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,,,,,,,,,,
10.2,,,,,,2.100E-03,,7.112E+00,,,,,,,,,,
16.7,,,,,,5.300E-02,,6.188E+00,,,,,,,,,,
21.2,,,,,,6.800E-02,,4.505E+00,,,,,,,,,,
26.8,,,,,,7.900E-02,,2.856E+00,,,,,,,,,,
40.8,,,,,7.245E+00,6.900E-02,1.217E+00,1.001E+00,,,,,,,,,,
80,,,1.883E-01,,5.898E-01,3.300E-02,4.653E+00,9.400E-02,,,,,,,,,,
132.3,,,1.542E-01,,2.428E-01,1.600E-02,7.010E+00,9.800E-03,,,,,,,,,,
151.4,,,1.367E-01,,2.127E-01,1.500E-02,7.126E+00,5.600E-03,,,,,,,,,,
200,,,1.005E-01,,1.699E-01,1.000E-02,6.656E+00,4.500E-03,,,,,,,,,,
300,,,5.900E-02,3.365E-01,1.161E-01,5.100E-03,4.703E+00,5.500E-03,,,,,,,,,,
600,1.016E-01,3.024E-01,2.100E-02,6.778E-01,5.000E-02,1.800E-03,1.321E+00,3.900E-03,,,,,,,,,,
800,7.000E-02,2.258E-01,1.300E-02,5.279E-01,3.400E-02,1.200E-03,6.311E-01,2.700E-03,,,,,,,,,,
1041,4.800E-02,1.629E-01,8.700E-03,3.689E-01,2.300E-02,6.600E-04,2.961E-01,1.900E-03,,,,,,,,,,
1253.6,3.600E-02,1.252E-01,6.400E-03,2.699E-01,1.700E-02,5.600E-04,1.670E-01,1.200E-03,,,,,,,,,,
1486.6,2.700E-02,9.600E-02,4.800E-03,1.960E-01,1.300E-02,4.600E-04,9.600E-02,9.700E-04,,,,,,,,,,
8047.8,1.200E-03,3.400E-03,2.200E-04,2.200E-03,4.700E-04,2.600E-05,1.500E-04,1.700E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
