Photon Energy / eV,1s,2s,2p,,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,,,,,,,,,,,,
21.2,,,9.305E+00,,,,,,,,,,,,,,,
26.8,,,9.876E+00,,,,,,,,,,,,,,,
40.8,,5.185E-01,8.417E+00,,,,,,,,,,,,,,,
80,,6.742E-01,3.508E+00,,,,,,,,,,,,,,,
132.3,,4.167E-01,1.121E+00,,,,,,,,,,,,,,,
151.4,,3.435E-01,7.936E-01,,,,,,,,,,,,,,,
200,,2.231E-01,3.808E-01,,,,,,,,,,,,,,,
300,,1.087E-01,1.183E-01,,,,,,,,,,,,,,,
600,,2.500E-02,1.400E-02,,,,,,,,,,,,,,,
800,2.923E-01,1.300E-02,5.300E-03,,,,,,,,,,,,,,,
1041,1.525E-01,6.900E-03,2.200E-03,,,,,,,,,,,,,,,
1253.6,9.400E-02,4.300E-03,1.100E-03,,,,,,,,,,,,,,,
1486.6,6.000E-02,2.800E-03,6.800E-04,,,,,,,,,,,,,,,
8047.8,4.500E-04,2.000E-05,7.600E-07,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,2.000E+00,5.000E+00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
