Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,6s,4f,,,,,,,,
10.2,,,,,,,,,3.800E-02,,,,,,,,,
16.7,,,,,,,,,9.000E-02,3.281E-01,,,,,,,,
21.2,,,,,,,,,1.013E-01,6.255E-01,,,,,,,,
26.8,,,,,,,,,8.800E-02,1.109E+00,,,,,,,,
40.8,,,,,,2.145E-01,,2.368E+00,6.800E-02,2.033E+00,,,,,,,,
80,,,,,,2.343E-01,,4.087E-01,3.100E-02,2.178E+00,,,,,,,,
132.3,,,,,,1.425E-01,2.035E+00,2.366E-01,1.500E-02,1.394E+00,,,,,,,,
151.4,,,,,,1.195E-01,7.752E-01,2.068E-01,1.200E-02,1.162E+00,,,,,,,,
200,,,,,,8.200E-02,5.133E-01,1.585E-01,8.400E-03,7.365E-01,,,,,,,,
300,,,1.831E-01,,4.628E-01,4.600E-02,9.336E-01,1.005E-01,4.200E-03,3.118E-01,,,,,,,,
600,,,7.700E-02,,2.491E-01,1.500E-02,5.704E-01,4.000E-02,1.300E-03,4.500E-02,,,,,,,,
800,,,5.000E-02,,1.688E-01,9.500E-03,3.562E-01,2.500E-02,1.000E-03,1.800E-02,,,,,,,,
1041,,,3.200E-02,1.714E+00,1.134E-01,6.000E-03,2.138E-01,1.700E-02,6.800E-04,7.700E-03,,,,,,,,
1253.6,,3.288E-01,2.400E-02,1.100E+00,8.300E-02,4.300E-03,1.416E-01,1.200E-02,4.700E-04,3.900E-03,,,,,,,,
1486.6,6.200E-02,2.601E-01,1.700E-02,7.116E-01,6.100E-02,3.100E-03,9.500E-02,8.900E-03,3.100E-04,2.200E-03,,,,,,,,
8047.8,3.100E-03,7.600E-03,7.400E-04,3.400E-03,1.600E-03,1.200E-04,6.600E-04,2.200E-04,2.000E-05,2.500E-06,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,2.000E+00,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
