Photon Energy / eV,1s,2s,2p,,,,,,,,,,,,,,,
10.2,,,1.270E+01,,,,,,,,,,,,,,,
16.7,,,8.324E+00,,,,,,,,,,,,,,,
21.2,,1.230E+00,6.128E+00,,,,,,,,,,,,,,,
26.8,,1.378E+00,4.229E+00,,,,,,,,,,,,,,,
40.8,,1.170E+00,1.875E+00,,,,,,,,,,,,,,,
80,,5.440E-01,3.266E-01,,,,,,,,,,,,,,,
132.3,,2.252E-01,7.800E-02,,,,,,,,,,,,,,,
151.4,,1.714E-01,4.700E-02,,,,,,,,,,,,,,,
200,,9.600E-02,1.900E-02,,,,,,,,,,,,,,,
300,8.591E-01,3.800E-02,6.000E-03,,,,,,,,,,,,,,,
600,1.680E-01,7.300E-03,7.500E-04,,,,,,,,,,,,,,,
800,7.700E-02,3.300E-03,3.100E-04,,,,,,,,,,,,,,,
1041,3.700E-02,1.600E-03,1.200E-04,,,,,,,,,,,,,,,
1253.6,2.200E-02,1.000E-03,5.600E-05,,,,,,,,,,,,,,,
1486.6,1.300E-02,6.600E-04,1.000E-05,,,,,,,,,,,,,,,
8047.8,8.000E-05,5.900E-06,6.400E-06,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,2.000E+00,2.000E+00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
