Photon Energy / eV,2s,2p,3s,3p,4s,3d,,,,,,,,,,,,
10.2,,,,,6.700E-03,,,,,,,,,,,,,
16.7,,,,,1.572E-01,4.593E+00,,,,,,,,,,,,
21.2,,,,,1.845E-01,5.813E+00,,,,,,,,,,,,
26.8,,,,,1.788E-01,6.599E+00,,,,,,,,,,,,
40.8,,,,,1.427E-01,5.940E+00,,,,,,,,,,,,
80,,,4.294E-01,9.165E-01,6.900E-02,2.577E+00,,,,,,,,,,,,
132.3,,,3.375E-01,1.171E+00,3.400E-02,9.010E-01,,,,,,,,,,,,
151.4,,,2.974E-01,1.094E+00,2.800E-02,6.453E-01,,,,,,,,,,,,
200,,,2.164E-01,8.487E-01,1.900E-02,3.112E-01,,,,,,,,,,,,
300,,,1.247E-01,4.809E-01,9.800E-03,9.700E-02,,,,,,,,,,,,
600,,1.410E+00,4.000E-02,1.257E-01,3.200E-03,1.000E-02,,,,,,,,,,,,
800,1.378E-01,7.034E-01,2.400E-02,6.400E-02,1.900E-03,4.000E-03,,,,,,,,,,,,
1041,9.100E-02,3.535E-01,1.400E-02,3.300E-02,1.000E-03,1.500E-03,,,,,,,,,,,,
1253.6,6.600E-02,2.117E-01,1.000E-02,2.100E-02,7.600E-04,8.500E-04,,,,,,,,,,,,
1486.6,4.800E-02,1.308E-01,7.300E-03,1.300E-02,5.100E-04,4.200E-04,,,,,,,,,,,,
8047.8,1.100E-03,5.900E-04,1.700E-04,8.000E-05,1.100E-05,5.000E-07,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,2.000E+00,3.000E+00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
