Photon Energy / eV,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,5f,,,,,,,
10.2,,,,,,,,,3.900E-03,9.198E+00,,,,,,,,
16.7,,,,,,,,,6.700E-02,7.317E+00,,,,,,,,
21.2,,,,,,,,,7.200E-02,4.668E+00,,,,,,,,
26.8,,,,,,,,,8.000E-02,2.675E+00,,,,,,,,
40.8,,,,,,,,4.813E+00,6.400E-02,8.537E-01,2.427E+00,,,,,,,
80,,,,,1.891E-01,,,5.633E-01,2.800E-02,9.300E-02,1.906E+01,,,,,,,
132.3,,,,,1.357E-01,,,2.328E-01,1.400E-02,1.400E-02,1.526E+01,,,,,,,
151.4,,,,,1.191E-01,,,1.978E-01,1.200E-02,8.900E-03,8.720E+00,,,,,,,
200,,,,,8.500E-02,,1.012E+00,1.438E-01,9.400E-03,4.700E-03,1.326E+00,,,,,,,
300,,,,3.672E-01,4.900E-02,,2.986E-01,9.100E-02,4.700E-03,3.500E-03,1.540E-01,,,,,,,
600,,8.100E-02,,2.125E-01,1.700E-02,,3.063E-01,3.900E-02,1.800E-03,2.400E-03,4.573E-01,,,,,,,
800,,6.400E-02,,1.531E-01,1.100E-02,3.547E+00,2.521E-01,2.600E-02,8.700E-04,1.800E-03,3.410E-01,,,,,,,
1041,,3.600E-02,,1.079E-01,7.300E-03,2.655E+00,1.921E-01,1.700E-02,7.800E-04,1.300E-03,2.236E-01,,,,,,,
1253.6,,2.700E-02,5.678E-01,8.200E-02,5.300E-03,1.797E+00,1.516E-01,1.300E-02,4.600E-04,1.100E-03,1.554E-01,,,,,,,
1486.6,1.958E-01,2.000E-02,4.806E-01,6.300E-02,4.000E-03,1.196E+00,1.182E-01,1.000E-02,2.700E-04,8.100E-04,1.069E-01,,,,,,,
8047.8,1.100E-02,1.000E-03,1.500E-02,3.000E-03,1.800E-04,5.000E-03,3.300E-03,4.900E-04,3.000E-05,2.500E-05,7.100E-04,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,6.000E+00,2.000E+00,1.000E+00,1.200E+01,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
