Photon Energy / eV,1s,2s,2p,,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,,,,,,,,,,,,
21.2,,,6.514E+00,,,,,,,,,,,,,,,
26.8,,,8.544E+00,,,,,,,,,,,,,,,
40.8,,,8.929E+00,,,,,,,,,,,,,,,
80,,6.046E-01,4.991E+00,,,,,,,,,,,,,,,
132.3,,4.390E-01,1.862E+00,,,,,,,,,,,,,,,
151.4,,3.751E-01,1.361E+00,,,,,,,,,,,,,,,
200,,2.538E-01,6.791E-01,,,,,,,,,,,,,,,
300,,1.304E-01,2.276E-01,,,,,,,,,,,,,,,
600,,3.300E-02,2.800E-02,,,,,,,,,,,,,,,
800,,1.700E-02,1.100E-02,,,,,,,,,,,,,,,
1041,2.093E-01,9.700E-03,4.800E-03,,,,,,,,,,,,,,,
1253.6,1.328E-01,6.200E-03,2.500E-03,,,,,,,,,,,,,,,
1486.6,8.600E-02,4.000E-03,1.300E-03,,,,,,,,,,,,,,,
8047.8,7.000E-04,3.800E-05,2.900E-06,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,2.000E+00,6.000E+00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
