Photon Energy / eV,2s,2p,3s,3p,4s,3d,,,,,,,,,,,,
10.2,,,,,6.400E-02,,,,,,,,,,,,,
16.7,,,,,1.600E-02,6.449E+00,,,,,,,,,,,,
21.2,,,,,3.600E-02,7.553E+00,,,,,,,,,,,,
26.8,,,,,4.400E-02,8.190E+00,,,,,,,,,,,,
40.8,,,,,4.100E-02,9.934E+00,,,,,,,,,,,,
80,,,,,2.500E-02,8.712E+00,,,,,,,,,,,,
132.3,,,2.955E-01,6.064E-01,1.400E-02,5.139E+00,,,,,,,,,,,,
151.4,,,2.812E-01,7.167E-01,1.100E-02,4.441E+00,,,,,,,,,,,,
200,,,2.424E-01,7.960E-01,8.300E-03,2.595E+00,,,,,,,,,,,,
300,,,1.627E-01,6.257E-01,4.300E-03,1.040E+00,,,,,,,,,,,,
600,,,6.200E-02,2.319E-01,1.400E-03,1.513E-01,,,,,,,,,,,,
800,,,3.900E-02,1.338E-01,8.900E-04,7.700E-02,,,,,,,,,,,,
1041,,8.603E-01,2.500E-02,7.600E-02,5.500E-04,3.600E-02,,,,,,,,,,,,
1253.6,9.800E-02,5.345E-01,1.700E-02,5.000E-02,4.200E-04,2.100E-02,,,,,,,,,,,,
1486.6,7.500E-02,3.438E-01,1.300E-02,3.300E-02,2.700E-04,1.200E-02,,,,,,,,,,,,
8047.8,2.400E-03,2.000E-03,3.600E-04,2.700E-04,9.900E-06,3.200E-04,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,1.000E+00,1.000E+01,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
