Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,,,,,,,,,,,
10.2,,,,,,4.500E-04,,,,,,,,,,,,
16.7,,,,,,5.000E-02,,,,,,,,,,,,
21.2,,,,,,6.300E-02,1.190E+00,,,,,,,,,,,
26.8,,,,,,6.500E-02,1.240E+00,,,,,,,,,,,
40.8,,,,,6.296E+00,5.300E-02,2.417E+00,,,,,,,,,,,
80,,,1.879E-01,,5.202E-01,2.800E-02,6.253E+00,,,,,,,,,,,
132.3,,,1.459E-01,,2.217E-01,1.500E-02,7.440E+00,,,,,,,,,,,
151.4,,,1.289E-01,,1.966E-01,1.200E-02,7.331E+00,,,,,,,,,,,
200,,,9.300E-02,7.572E-01,1.545E-01,8.000E-03,6.511E+00,,,,,,,,,,,
300,,,5.500E-02,3.642E-01,1.051E-01,4.200E-03,4.399E+00,,,,,,,,,,,
600,9.900E-02,2.984E-01,1.900E-02,6.737E-01,4.700E-02,1.700E-03,1.174E+00,,,,,,,,,,,
800,6.800E-02,2.213E-01,1.200E-02,5.154E-01,3.100E-02,8.600E-04,5.554E-01,,,,,,,,,,,
1041,4.700E-02,1.589E-01,8.100E-03,3.565E-01,2.100E-02,6.800E-04,2.592E-01,,,,,,,,,,,
1253.6,3.500E-02,1.217E-01,6.000E-03,2.587E-01,1.500E-02,5.300E-04,1.449E-01,,,,,,,,,,,
1486.6,2.600E-02,9.300E-02,4.500E-03,1.871E-01,1.200E-02,3.900E-04,8.200E-02,,,,,,,,,,,
8047.8,1.200E-03,3.200E-03,2.000E-04,2.000E-03,3.900E-04,1.300E-05,1.300E-04,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.00E+00,6.00E+00,2.00E+00,1.00E+01,6.00E+00,2.00E+00,1.40E+01,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
