Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,5f,,,,,,
10.2,,,,,,,,,,7.500E-03,9.914E+00,,,,,,,
16.7,,,,,,,,,,6.800E-02,7.380E+00,,,,,,,
21.2,,,,,,,,,,8.200E-02,4.555E+00,,,,,,,
26.8,,,,,,,,,,7.900E-02,2.555E+00,,,,,,,
40.8,,,,,,,,,4.165E+00,6.400E-02,7.999E-01,3.350E+00,,,,,,
80,,,,,,1.976E-01,,,5.341E-01,3.000E-02,8.500E-02,1.919E+01,,,,,,
132.3,,,,,,1.358E-01,,,2.305E-01,1.500E-02,1.300E-02,7.747E+00,,,,,,
151.4,,,,,,1.174E-01,,1.298E+00,1.960E-01,1.200E-02,8.800E-03,3.876E+00,,,,,,
200,,,,,,8.300E-02,,7.878E-01,1.417E-01,8.700E-03,4.700E-03,4.515E-01,,,,,,
300,,,,,3.590E-01,4.800E-02,,2.936E-01,9.000E-02,4.600E-03,3.600E-03,1.627E-01,,,,,,
600,,,7.600E-02,,2.006E-01,1.700E-02,9.200E-02,2.933E-01,3.700E-02,1.500E-03,2.500E-03,3.169E-01,,,,,,
800,,,5.000E-02,,1.427E-01,1.000E-02,3.665E+00,2.372E-01,2.500E-02,1.000E-03,1.800E-03,2.260E-01,,,,,,
1041,,,3.300E-02,6.272E-01,9.900E-02,6.900E-03,2.342E+00,1.772E-01,1.700E-02,6.900E-04,1.300E-03,1.432E-01,,,,,,
1253.6,,2.285E-01,2.400E-02,5.495E-01,7.600E-02,5.000E-03,1.558E+00,1.384E-01,1.200E-02,5.000E-04,1.000E-03,9.700E-02,,,,,,
1486.6,5.500E-02,1.869E-01,1.800E-02,4.583E-01,5.800E-02,3.700E-03,1.021E+00,1.071E-01,9.500E-03,3.600E-04,8.600E-04,6.600E-02,,,,,,
8047.8,3.200E-03,1.000E-02,9.000E-04,1.300E-02,2.700E-03,1.800E-04,4.000E-03,2.800E-03,4.400E-04,1.900E-05,2.600E-05,3.900E-04,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.00E+00,6.00E+00,2.00E+00,1.00E+01,6.00E+00,2.00E+00,1.40E+01,1.00E+01,6.00E+00,2.00E+00,1.00E+00,9.00E+00,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
