Photon Energy / eV,2s,2p,3s,3p,4s,3d,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,3.600E-02,,,,,,,,,,,,,
21.2,,,,,9.300E-02,3.984E+00,,,,,,,,,,,,
26.8,,,,,1.295E-01,5.398E+00,,,,,,,,,,,,
40.8,,,,,1.299E-01,8.357E+00,,,,,,,,,,,,
80,,,,,7.500E-02,7.877E+00,,,,,,,,,,,,
132.3,,,3.125E-01,7.440E-01,3.800E-02,4.487E+00,,,,,,,,,,,,
151.4,,,2.956E-01,8.420E-01,3.300E-02,3.638E+00,,,,,,,,,,,,
200,,,2.498E-01,8.578E-01,2.100E-02,2.106E+00,,,,,,,,,,,,
300,,,1.617E-01,6.313E-01,1.100E-02,8.065E-01,,,,,,,,,,,,
600,,,6.000E-02,2.189E-01,3.800E-03,1.142E-01,,,,,,,,,,,,
800,,,3.700E-02,1.235E-01,2.500E-03,4.900E-02,,,,,,,,,,,,
1041,1.232E-01,7.513E-01,2.300E-02,6.900E-02,1.400E-03,1.900E-02,,,,,,,,,,,,
1253.6,9.300E-02,4.691E-01,1.600E-02,4.500E-02,1.000E-03,1.000E-02,,,,,,,,,,,,
1486.6,7.100E-02,2.998E-01,1.200E-02,2.900E-02,8.300E-04,5.900E-03,,,,,,,,,,,,
8047.8,2.200E-03,1.700E-03,3.300E-04,2.300E-04,3.200E-05,2.000E-05,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,2.000E+00,8.000E+00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
