Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,6s,4f,,,,,,,,
10.2,,,,,,,,,2.400E-02,,,,,,,,,
16.7,,,,,,,,,8.000E-02,4.711E-01,,,,,,,,
21.2,,,,,,,,,9.200E-02,7.066E-01,,,,,,,,
26.8,,,,,,,,,8.100E-02,1.261E+00,,,,,,,,
40.8,,,,,,,,3.028E+00,6.400E-02,2.974E+00,,,,,,,,
80,,,,,,2.294E-01,,4.249E-01,3.100E-02,4.620E+00,,,,,,,,
132.3,,,,,,1.470E-01,,2.376E-01,1.400E-02,3.609E+00,,,,,,,,
151.4,,,,,,1.248E-01,1.456E+00,2.096E-01,1.200E-02,3.176E+00,,,,,,,,
200,,,,,,8.700E-02,3.887E-01,1.617E-01,9.100E-03,2.213E+00,,,,,,,,
300,,,1.892E-01,,4.590E-01,4.900E-02,8.226E-01,1.048E-01,4.800E-03,1.057E+00,,,,,,,,
600,,,8.400E-02,,2.670E-01,1.600E-02,6.248E-01,4.300E-02,1.600E-03,1.793E-01,,,,,,,,
800,,,5.500E-02,,1.861E-01,1.000E-02,4.096E-01,2.700E-02,8.600E-04,7.300E-02,,,,,,,,
1041,,,3.600E-02,,1.262E-01,6.600E-03,2.537E-01,1.800E-02,5.000E-04,3.100E-02,,,,,,,,
1253.6,,,2.700E-02,1.359E+00,9.400E-02,4.800E-03,1.721E-01,1.300E-02,3.600E-04,1.600E-02,,,,,,,,
1486.6,6.800E-02,2.826E-01,2.000E-02,8.900E-01,7.000E-02,3.500E-03,1.179E-01,1.000E-02,2.800E-04,9.300E-03,,,,,,,,
8047.8,3.500E-03,9.300E-03,8.700E-04,4.700E-03,1.900E-03,1.400E-04,9.000E-04,2.900E-04,1.500E-05,1.200E-05,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,5.000E+00,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
