Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,5f,,,,,,
10.2,,,,,,,,,,5.000E-03,9.658E+00,,,,,,,
16.7,,,,,,,,,,6.600E-02,7.377E+00,,,,,,,
21.2,,,,,,,,,,8.100E-02,4.606E+00,,,,,,,
26.8,,,,,,,,,,7.800E-02,2.597E+00,,,,,,,
40.8,,,,,,,,,4.369E+00,5.300E-02,8.170E-01,2.906E+00,,,,,,
80,,,,,,1.949E-01,,,5.426E-01,3.000E-02,8.700E-02,1.974E+01,,,,,,
132.3,,,,,,1.354E-01,,,2.306E-01,1.500E-02,1.300E-02,9.971E+00,,,,,,
151.4,,,,,,1.183E-01,,,1.965E-01,1.200E-02,9.000E-03,5.184E+00,,,,,,
200,,,,,,8.300E-02,,8.596E-01,1.422E-01,8.800E-03,4.700E-03,6.646E-01,,,,,,
300,,,,,3.616E-01,4.800E-02,,2.950E-01,8.900E-02,4.600E-03,3.500E-03,1.631E-01,,,,,,
600,,,7.800E-02,,2.048E-01,1.700E-02,,2.979E-01,3.800E-02,1.500E-03,2.500E-03,3.638E-01,,,,,,
800,,,5.100E-02,,1.463E-01,1.000E-02,3.786E+00,2.427E-01,2.500E-02,1.000E-03,1.800E-03,2.617E-01,,,,,,
1041,,,3.400E-02,6.124E-01,1.023E-01,6.900E-03,2.433E+00,1.824E-01,1.700E-02,6.700E-04,1.300E-03,1.678E-01,,,,,,
1253.6,,,2.500E-02,5.556E-01,7.800E-02,5.000E-03,1.637E+00,1.429E-01,1.200E-02,5.100E-04,1.000E-03,1.151E-01,,,,,,
1486.6,5.600E-02,1.899E-01,1.900E-02,4.658E-01,6.000E-02,3.800E-03,1.078E+00,1.108E-01,9.800E-03,3.800E-04,8.800E-04,7.800E-02,,,,,,
8047.8,3.300E-03,1.000E-02,9.400E-04,1.300E-02,2.800E-03,1.800E-04,4.300E-03,3.000E-03,4.300E-04,2.200E-05,3.200E-05,4.700E-04,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,6.000E+00,2.000E+00,1.000E+00,1.000E+01,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
