Photon Energy / eV,1s,2s,,,,,,,,,,,,,,,,
10.2,,2.027E+00,,,,,,,,,,,,,,,,
16.7,,1.896E+00,,,,,,,,,,,,,,,,
21.2,,1.535E+00,,,,,,,,,,,,,,,,
26.8,,1.161E+00,,,,,,,,,,,,,,,,
40.8,,6.471E-01,,,,,,,,,,,,,,,,
80,,1.896E-01,,,,,,,,,,,,,,,,
132.3,1.791E+00,6.200E-02,,,,,,,,,,,,,,,,
151.4,1.386E+00,4.400E-02,,,,,,,,,,,,,,,,
200,7.359E-01,2.300E-02,,,,,,,,,,,,,,,,
300,2.590E-01,8.400E-03,,,,,,,,,,,,,,,,
600,3.800E-02,1.200E-03,,,,,,,,,,,,,,,,
800,1.600E-02,6.100E-04,,,,,,,,,,,,,,,,
1041,7.700E-03,3.200E-04,,,,,,,,,,,,,,,,
1253.6,4.400E-03,1.500E-04,,,,,,,,,,,,,,,,
1486.6,2.600E-03,8.700E-05,,,,,,,,,,,,,,,,
8047.8,1.300E-05,4.300E-08,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,2.000E+00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
