Photon Energy / eV,2s,2p,3s,3p,,,,,,,,,,,,,,
10.2,,,,1.938E+00,,,,,,,,,,,,,,
16.7,,,2.191E-01,1.572E-01,,,,,,,,,,,,,,
21.2,,,3.431E-01,8.800E-02,,,,,,,,,,,,,,
26.8,,,3.858E-01,1.017E-01,,,,,,,,,,,,,,
40.8,,,3.339E-01,1.230E-01,,,,,,,,,,,,,,
80,,,1.572E-01,6.500E-02,,,,,,,,,,,,,,
132.3,5.224E-01,4.809E+00,7.100E-02,2.700E-02,,,,,,,,,,,,,,
151.4,5.051E-01,3.841E+00,5.800E-02,2.000E-02,,,,,,,,,,,,,,
200,3.927E-01,2.176E+00,3.700E-02,1.100E-02,,,,,,,,,,,,,,
300,2.292E-01,8.226E-01,1.900E-02,4.600E-03,,,,,,,,,,,,,,
600,7.000E-02,1.230E-01,5.000E-03,6.400E-04,,,,,,,,,,,,,,
800,3.900E-02,5.100E-02,2.900E-03,3.600E-04,,,,,,,,,,,,,,
1041,2.200E-02,2.200E-02,1.600E-03,1.000E-04,,,,,,,,,,,,,,
1253.6,1.500E-02,1.200E-02,1.100E-03,7.200E-05,,,,,,,,,,,,,,
1486.6,1.000E-02,7.200E-03,7.800E-04,5.900E-05,,,,,,,,,,,,,,
8047.8,1.300E-04,1.700E-05,1.200E-05,9.800E-08,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
