Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,,,2.818E+01,,,,,,,,,
21.2,,,,,,,,,1.137E+01,,,,,,,,,
26.8,,,,,,5.500E-02,,,4.975E+00,,,,,,,,,
40.8,,,,,,1.774E-01,,,1.279E+00,,,,,,,,,
80,,,,,,1.399E-01,,2.106E+01,2.353E-01,,,,,,,,,
132.3,,,,,,7.900E-02,,1.579E+00,1.069E-01,,,,,,,,,
151.4,,,,,4.979E-01,6.600E-02,,7.937E-01,9.200E-02,,,,,,,,,
200,,,1.884E-01,,3.674E-01,4.500E-02,,2.649E-01,6.700E-02,,,,,,,,,
300,,,1.273E-01,,2.719E-01,2.600E-02,3.292E-01,2.208E-01,4.200E-02,,,,,,,,,
600,,,5.000E-02,6.795E-01,1.316E-01,8.900E-03,3.684E+00,1.876E-01,1.700E-02,,,,,,,,,
800,,2.926E-01,3.200E-02,6.598E-01,8.900E-02,5.300E-03,2.226E+00,1.415E-01,1.100E-02,,,,,,,,,
1041,7.000E-02,2.290E-01,2.000E-02,5.489E-01,6.100E-02,3.500E-03,1.217E+00,1.009E-01,7.600E-03,,,,,,,,,
1253.6,5.400E-02,1.838E-01,1.500E-02,4.422E-01,4.600E-02,2.400E-03,7.477E-01,7.500E-02,5.500E-03,,,,,,,,,
1486.6,4.200E-02,1.462E-01,1.100E-02,3.466E-01,3.500E-02,1.900E-03,4.651E-01,5.600E-02,4.100E-03,,,,,,,,,
8047.8,2.200E-03,6.700E-03,5.200E-04,6.700E-03,1.400E-03,9.300E-05,1.200E-03,1.000E-03,1.900E-04,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,6.000E+00,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
