Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,,,,,,,,,,
10.2,,,,,,5.100E-02,,,,,,,,,,,,
16.7,,,,,,8.000E-03,,2.004E+01,,,,,,,,,,
21.2,,,,,,1.900E-02,,2.946E+01,,,,,,,,,,
26.8,,,,,,2.700E-02,,4.010E+01,,,,,,,,,,
40.8,,,,,,2.900E-02,,3.133E+01,,,,,,,,,,
80,,,,,1.261E+00,2.000E-02,,3.426E+00,,,,,,,,,,
132.3,,,1.811E-01,,3.569E-01,1.100E-02,6.331E-01,3.283E-01,,,,,,,,,,
151.4,,,1.717E-01,,3.045E-01,9.400E-03,1.064E+00,1.818E-01,,,,,,,,,,
200,,,1.367E-01,,2.462E-01,6.100E-03,3.286E+00,8.800E-02,,,,,,,,,,
300,,,8.700E-02,,1.763E-01,3.600E-03,5.497E+00,1.011E-01,,,,,,,,,,
600,1.238E-01,3.337E-01,3.200E-02,6.882E-01,8.000E-02,1.200E-03,2.432E+00,7.700E-02,,,,,,,,,,
800,8.300E-02,2.607E-01,2.000E-02,6.075E-01,5.400E-02,7.300E-04,1.276E+00,5.600E-02,,,,,,,,,,
1041,5.800E-02,1.934E-01,1.300E-02,4.588E-01,3.700E-02,4.700E-04,6.439E-01,3.900E-02,,,,,,,,,,
1253.6,4.400E-02,1.514E-01,9.800E-03,3.508E-01,2.800E-02,3.400E-04,3.792E-01,2.900E-02,,,,,,,,,,
1486.6,3.400E-02,1.190E-01,7.400E-03,2.642E-01,2.100E-02,2.800E-04,2.270E-01,2.100E-02,,,,,,,,,,
8047.8,1.600E-03,4.800E-03,3.200E-04,3.800E-03,8.200E-04,1.200E-05,4.600E-04,4.000E-04,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,1.000E+00,1.400E+01,9.000E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
