Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,5f,,,,,,
10.2,,,,,,,,,,9.100E-03,1.019E+01,,,,,,,
16.7,,,,,,,,,,7.000E-02,7.372E+00,,,,,,,
21.2,,,,,,,,,,8.400E-02,4.498E+00,,,,,,,
26.8,,,,,,,,,,8.000E-02,2.512E+00,1.418E+00,,,,,,
40.8,,,,,,,,,3.958E+00,6.400E-02,7.824E-01,3.936E+00,,,,,,
80,,,,,,1.997E-01,,,5.239E-01,3.000E-02,8.300E-02,1.799E+01,,,,,,
132.3,,,,,,1.353E-01,,,2.288E-01,1.500E-02,1.200E-02,5.857E+00,,,,,,
151.4,,,,,,1.165E-01,,2.040E+00,1.947E-01,1.200E-02,8.700E-03,2.822E+00,,,,,,
200,,,,,,8.200E-02,,7.226E-01,1.405E-01,8.600E-03,4.700E-03,2.987E-01,,,,,,
300,,,1.749E-01,,3.559E-01,4.700E-02,,2.921E-01,8.900E-02,4.500E-03,3.600E-03,1.585E-01,,,,,,
600,,,7.400E-02,,1.962E-01,1.600E-02,2.186E-01,2.881E-01,3.600E-02,1.500E-03,2.600E-03,2.724E-01,,,,,,
800,,,4.900E-02,,1.391E-01,1.000E-02,3.545E+00,2.315E-01,2.400E-02,1.000E-03,1.900E-03,1.913E-01,,,,,,
1041,,,3.200E-02,6.251E-01,9.600E-02,6.700E-03,2.242E+00,1.720E-01,1.600E-02,6.900E-04,1.300E-03,1.195E-01,,,,,,
1253.6,,2.241E-01,2.400E-02,5.425E-01,7.300E-02,4.900E-03,1.481E+00,1.338E-01,1.200E-02,4.900E-04,1.100E-03,8.000E-02,,,,,,
1486.6,5.400E-02,1.837E-01,1.800E-02,4.502E-01,5.600E-02,3.600E-03,9.663E-01,1.034E-01,9.300E-03,3.400E-04,8.300E-04,5.400E-02,,,,,,
8047.8,3.100E-03,1.000E-02,8.800E-04,1.200E-02,2.500E-03,1.800E-04,3.700E-03,2.600E-03,4.200E-04,2.700E-05,2.200E-05,2.900E-04,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,6.000E+00,2.000E+00,1.000E+00,8.000E+00,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
