Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,,,,,,,,,,
10.2,,,,,,1.474E-01,,,,,,,,,,,,
16.7,,,,,,1.900E-02,,1.664E+01,,,,,,,,,,
21.2,,,,,,5.800E-02,,2.749E+01,,,,,,,,,,
26.8,,,,,,7.600E-02,,3.421E+01,,,,,,,,,,
40.8,,,,,,8.100E-02,,1.731E+01,,,,,,,,,,
80,,,,,1.057E+00,4.900E-02,5.949E-01,1.695E+00,,,,,,,,,,
132.3,,,1.832E-01,,3.308E-01,2.600E-02,1.748E+00,1.668E-01,,,,,,,,,,
151.4,,,1.679E-01,,2.887E-01,2.200E-02,2.859E+00,9.500E-02,,,,,,,,,,
200,,,1.296E-01,,2.311E-01,1.400E-02,5.127E+00,5.400E-02,,,,,,,,,,
300,,,8.000E-02,3.182E-01,1.633E-01,8.000E-03,5.606E+00,6.200E-02,,,,,,,,,,
600,1.130E-01,3.241E-01,2.900E-02,6.913E-01,7.300E-02,2.900E-03,2.101E+00,4.600E-02,,,,,,,,,,
800,7.900E-02,2.510E-01,1.800E-02,5.864E-01,4.900E-02,1.800E-03,1.075E+00,3.300E-02,,,,,,,,,,
1041,5.500E-02,1.841E-01,1.200E-02,4.337E-01,3.300E-02,1.200E-03,5.299E-01,2.200E-02,,,,,,,,,,
1253.6,4.100E-02,1.439E-01,8.800E-03,3.270E-01,2.500E-02,7.700E-04,3.095E-01,1.700E-02,,,,,,,,,,
1486.6,3.200E-02,1.123E-01,6.600E-03,2.443E-01,1.900E-02,5.900E-04,1.833E-01,1.200E-02,,,,,,,,,,
8047.8,1.500E-03,4.300E-03,2.900E-04,3.300E-03,7.000E-04,4.000E-05,3.500E-04,1.900E-04,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,6.000E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
