Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,5f,,,,,,,
10.2,,,,,,,,,,2.000E-02,,,,,,,,
16.7,,,,,,,,,,6.700E-02,,,,,,,,
21.2,,,,,,,,,,7.800E-02,1.473E+00,,,,,,,
26.8,,,,,,,,,,7.000E-02,3.003E+00,,,,,,,
40.8,,,,,,,,,3.103E+00,5.600E-02,9.450E+00,,,,,,,
80,,,,,,1.948E-01,,,4.546E-01,2.500E-02,1.217E+01,,,,,,,
132.3,,,,,,1.251E-01,,3.525E+00,2.047E-01,1.300E-02,2.360E+00,,,,,,,
151.4,,,,,,1.063E-01,,2.154E+00,1.721E-01,1.000E-02,1.035E+00,,,,,,,
200,,,,,,7.400E-02,,5.531E-01,1.255E-01,7.000E-03,8.400E-02,,,,,,,
300,,,1.581E-01,,3.402E-01,4.200E-02,,2.797E-01,7.800E-02,3.700E-03,1.341E-01,,,,,,,
600,,,6.800E-02,,1.812E-01,1.400E-02,3.633E+00,2.669E-01,3.200E-02,1.200E-03,1.691E-01,,,,,,,
800,,,4.400E-02,,1.259E-01,9.300E-03,3.205E+00,2.088E-01,2.100E-02,7.400E-04,1.122E-01,,,,,,,
1041,,,2.900E-02,6.100E-01,8.700E-02,5.900E-03,1.946E+00,1.541E-01,1.400E-02,4.800E-04,6.800E-02,,,,,,,
1253.6,6.500E-02,2.140E-01,2.100E-02,5.196E-01,6.600E-02,4.300E-03,1.259E+00,1.185E-01,1.000E-02,3.200E-04,4.500E-02,,,,,,,
1486.6,5.100E-02,1.739E-01,1.600E-02,4.247E-01,5.000E-02,3.200E-03,8.102E-01,9.000E-02,8.000E-03,2.400E-04,3.000E-02,,,,,,,
8047.8,2.900E-03,9.100E-03,7.800E-04,1.100E-02,2.200E-03,1.600E-04,2.800E-03,2.200E-03,4.000E-04,2.100E-05,1.500E-04,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,6.000E+00,2.000E+00,6.000E+00,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
