Photon Energy / eV,4s,3d,4p,5s,4d,5p,6s,4f,,,,,,,,,,
10.2,,,,,,,9.500E-03,,,,,,,,,,,
16.7,,,,,,,6.700E-02,,,,,,,,,,,
21.2,,,,,,,7.900E-02,8.355E-01,,,,,,,,,,
26.8,,,,,,,7.400E-02,1.165E+00,,,,,,,,,,
40.8,,,,,,4.194E+00,5.900E-02,2.839E+00,,,,,,,,,,
80,,,,2.145E-01,,4.529E-01,3.000E-02,6.124E+00,,,,,,,,,,
132.3,,,,1.476E-01,,2.307E-01,1.500E-02,5.969E+00,,,,,,,,,,
151.4,,,,1.287E-01,,2.064E-01,1.300E-02,5.540E+00,,,,,,,,,,
200,,,,9.000E-02,5.146E-01,1.592E-01,8.700E-03,4.366E+00,,,,,,,,,,
300,,,4.415E-01,5.200E-02,6.186E-01,1.056E-01,4.600E-03,2.439E+00,,,,,,,,,,
600,9.200E-02,,2.853E-01,1.800E-02,6.682E-01,4.500E-02,1.300E-03,5.028E-01,,,,,,,,,,
800,6.100E-02,,2.044E-01,1.100E-02,4.676E-01,2.900E-02,1.000E-03,2.200E-01,,,,,,,,,,
1041,4.100E-02,,1.420E-01,7.300E-03,3.025E-01,2.000E-02,6.700E-04,9.700E-02,,,,,,,,,,
1253.6,3.000E-02,,1.074E-01,5.300E-03,2.128E-01,1.500E-02,4.900E-04,5.200E-02,,,,,,,,,,
1486.6,2.300E-02,1.167E+00,8.100E-02,4.000E-03,1.482E-01,1.100E-02,3.600E-04,2.900E-02,,,,,,,,,,
8047.8,1.000E-03,7.000E-03,2.500E-03,1.500E-04,1.300E-03,3.500E-04,9.900E-06,4.400E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,9.000E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
