Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,,,,,,,,,,,
10.2,,,,,,7.700E-03,7.309E+00,,,,,,,,,,,
16.7,,,,,,9.900E-02,6.934E+00,,,,,,,,,,,
21.2,,,,,,1.115E-01,4.795E+00,,,,,,,,,,,
26.8,,,,,,1.162E-01,2.640E+00,,,,,,,,,,,
40.8,,,,,4.329E+00,9.300E-02,5.147E-01,,,,,,,,,,,
80,,,2.794E-01,,4.667E-01,4.200E-02,1.800E-02,,,,,,,,,,,
132.3,,,1.932E-01,,3.553E-01,2.200E-02,4.300E-02,,,,,,,,,,,
151.4,,,1.673E-01,,3.300E-01,1.700E-02,4.300E-02,,,,,,,,,,,
200,,,1.173E-01,3.522E+00,2.696E-01,1.200E-02,3.700E-02,,,,,,,,,,,
300,,,6.500E-02,4.382E+00,1.757E-01,6.600E-03,2.100E-02,,,,,,,,,,,
600,1.123E-01,4.525E-01,2.100E-02,1.108E+00,6.500E-02,1.900E-03,5.300E-03,,,,,,,,,,,
800,7.400E-02,3.011E-01,1.300E-02,5.186E-01,4.100E-02,1.200E-03,2.600E-03,,,,,,,,,,,
1041,4.900E-02,1.929E-01,8.400E-03,2.447E-01,2.400E-02,7.700E-04,1.200E-03,,,,,,,,,,,
1253.6,3.600E-02,1.363E-01,6.000E-03,1.400E-01,1.700E-02,6.100E-04,7.200E-04,,,,,,,,,,,
1486.6,2.700E-02,9.600E-02,4.500E-03,8.200E-02,1.200E-02,4.800E-04,4.500E-04,,,,,,,,,,,
8047.8,9.800E-04,1.300E-03,1.500E-04,1.700E-04,1.700E-04,2.700E-05,9.900E-07,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
