Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,,1.154E+01,,,,,,,,,,
21.2,,,,,,2.200E-02,,4.758E+00,,,,,,,,,,
26.8,,,,,,1.163E-01,,2.028E+00,,,,,,,,,,
40.8,,,,,,2.123E-01,,5.043E-01,,,,,,,,,,
80,,,,,,1.439E-01,2.413E+01,1.158E-01,,,,,,,,,,
132.3,,,,,5.427E-01,7.800E-02,4.297E-01,6.900E-02,,,,,,,,,,
151.4,,,,,5.000E-01,6.400E-02,3.732E-01,6.000E-02,,,,,,,,,,
200,,,2.220E-01,,4.751E-01,4.400E-02,7.096E-01,4.700E-02,,,,,,,,,,
300,,,1.491E-01,,3.923E-01,2.500E-02,8.386E-01,3.100E-02,,,,,,,,,,
600,,,5.700E-02,1.578E-01,1.865E-01,8.300E-03,3.713E-01,1.100E-02,,,,,,,,,,
800,,,3.600E-02,2.013E+00,1.221E-01,5.200E-03,2.143E-01,8.000E-03,,,,,,,,,,
1041,8.600E-02,3.570E-01,2.300E-02,1.088E+00,8.000E-02,3.300E-03,1.204E-01,4.900E-03,,,,,,,,,,
1253.6,6.600E-02,2.750E-01,1.700E-02,6.720E-01,5.700E-02,2.200E-03,7.600E-02,3.500E-03,,,,,,,,,,
1486.6,5.100E-02,2.099E-01,1.200E-02,4.205E-01,4.200E-02,1.700E-03,4.900E-02,2.600E-03,,,,,,,,,,
8047.8,2.300E-03,4.900E-03,5.000E-04,1.600E-03,9.200E-04,7.200E-05,2.600E-04,5.800E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,4.000E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
