Photon Energy / eV,3p,4s,3d,4p,5s,4d,5p,6s,4f,,,,,,,,,
10.2,,,,,,,,2.000E-02,,,,,,,,,,
16.7,,,,,,,,7.700E-02,5.436E-01,,,,,,,,,
21.2,,,,,,,,8.900E-02,7.216E-01,,,,,,,,,
26.8,,,,,,,,8.000E-02,1.229E+00,,,,,,,,,
40.8,,,,,,,3.285E+00,6.200E-02,3.012E+00,,,,,,,,,
80,,,,,2.264E-01,,4.307E-01,3.100E-02,5.167E+00,,,,,,,,,
132.3,,,,,1.477E-01,,2.367E-01,1.400E-02,4.288E+00,,,,,,,,,
151.4,,,,,1.260E-01,1.408E+00,2.092E-01,1.300E-02,3.828E+00,,,,,,,,,
200,,,,,8.800E-02,3.796E-01,1.619E-01,9.200E-03,2.753E+00,,,,,,,,,
300,,,,4.560E-01,4.900E-02,7.769E-01,1.057E-01,4.900E-03,1.369E+00,,,,,,,,,
600,,8.600E-02,,2.723E-01,1.700E-02,6.389E-01,4.300E-02,1.600E-03,2.433E-01,,,,,,,,,
800,,5.700E-02,,1.910E-01,1.000E-02,4.265E-01,2.800E-02,8.100E-04,1.018E-01,,,,,,,,,
1041,,3.800E-02,,1.304E-01,6.800E-03,2.654E-01,1.900E-02,5.400E-04,4.300E-02,,,,,,,,,
1253.6,,2.800E-02,1.456E+00,9.700E-02,5.000E-03,1.831E-01,1.400E-02,3.900E-04,2.300E-02,,,,,,,,,
1486.6,2.886E-01,2.100E-02,9.547E-01,7.300E-02,3.700E-03,1.249E-01,1.000E-02,2.900E-04,1.200E-02,,,,,,,,,
8047.8,9.800E-03,9.000E-04,5.200E-03,2.100E-03,1.500E-04,9.700E-04,3.000E-04,2.200E-05,1.500E-05,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,6.000E+00,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
