Photon Energy / eV,1s,2s,2p,,,,,,,,,,,,,,,
10.2,,,6.801E+00,,,,,,,,,,,,,,,
16.7,,1.716E+00,3.048E+00,,,,,,,,,,,,,,,
21.2,,1.740E+00,1.934E+00,,,,,,,,,,,,,,,
26.8,,1.536E+00,1.180E+00,,,,,,,,,,,,,,,
40.8,,1.049E+00,4.227E-01,,,,,,,,,,,,,,,
80,,3.817E-01,6.200E-02,,,,,,,,,,,,,,,
132.3,,1.382E-01,1.300E-02,,,,,,,,,,,,,,,
151.4,,1.026E-01,8.300E-03,,,,,,,,,,,,,,,
200,1.335E+00,5.400E-02,3.500E-03,,,,,,,,,,,,,,,
300,5.403E-01,2.000E-02,9.400E-04,,,,,,,,,,,,,,,
600,8.800E-02,3.600E-03,8.700E-05,,,,,,,,,,,,,,,
800,3.900E-02,1.700E-03,3.100E-05,,,,,,,,,,,,,,,
1041,1.800E-02,8.700E-04,9.700E-06,,,,,,,,,,,,,,,
1253.6,1.000E-02,4.900E-04,5.700E-06,,,,,,,,,,,,,,,
1486.6,6.600E-03,2.800E-04,2.400E-06,,,,,,,,,,,,,,,
8047.8,3.600E-05,1.400E-06,1.800E-07,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,2.000E+00,1.000E+00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
