Photon Energy / eV,3s,3p,4s,3d,4p,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,,,,,,,,,,,,
21.2,,,,,,,,,,,,,,,,,,
26.8,,,,,1.591E+01,,,,,,,,,,,,,
40.8,,,1.672E-01,,2.300E+00,,,,,,,,,,,,,
80,,,2.432E-01,,3.413E-01,,,,,,,,,,,,,
132.3,,,1.547E-01,8.665E-01,2.633E-01,,,,,,,,,,,,,
151.4,,,1.297E-01,3.317E+00,2.441E-01,,,,,,,,,,,,,
200,,,9.000E-02,5.469E+00,1.955E-01,,,,,,,,,,,,,
300,,7.089E-01,5.000E-02,3.816E+00,1.280E-01,,,,,,,,,,,,,
600,1.017E-01,4.092E-01,1.600E-02,8.343E-01,4.700E-02,,,,,,,,,,,,,
800,6.600E-02,2.654E-01,1.000E-02,3.826E-01,2.800E-02,,,,,,,,,,,,,
1041,4.300E-02,1.666E-01,6.300E-03,1.770E-01,1.700E-02,,,,,,,,,,,,,
1253.6,3.200E-02,1.162E-01,4.500E-03,9.900E-02,1.200E-02,,,,,,,,,,,,,
1486.6,2.300E-02,8.100E-02,3.300E-03,5.800E-02,8.500E-03,,,,,,,,,,,,,
8047.8,8.300E-04,9.800E-04,1.100E-04,1.200E-04,1.300E-04,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
