Photon Energy / eV,2s,2p,3s,3p,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,,,,,,,,,,,,
21.2,,,,,,,,,,,,,,,,,,
26.8,,,,1.968E+01,,,,,,,,,,,,,,
40.8,,,,1.148E+00,,,,,,,,,,,,,,
80,,,4.179E-01,1.294E+00,,,,,,,,,,,,,,
132.3,,,2.551E-01,9.509E-01,,,,,,,,,,,,,,
151.4,,,2.145E-01,8.037E-01,,,,,,,,,,,,,,
200,,,1.454E-01,5.358E-01,,,,,,,,,,,,,,
300,,3.177E+00,7.700E-02,2.560E-01,,,,,,,,,,,,,,
600,1.577E-01,6.920E-01,2.300E-02,5.400E-02,,,,,,,,,,,,,,
800,9.800E-02,3.207E-01,1.300E-02,2.600E-02,,,,,,,,,,,,,,
1041,6.100E-02,1.534E-01,7.900E-03,1.300E-02,,,,,,,,,,,,,,
1253.6,4.300E-02,8.900E-02,5.400E-03,7.800E-03,,,,,,,,,,,,,,
1486.6,3.000E-02,5.300E-02,3.800E-03,4.900E-03,,,,,,,,,,,,,,
8047.8,5.800E-04,1.900E-04,8.500E-05,2.400E-05,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
