Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,5f,,,,,,
10.2,,,,,,,,,,1.800E-02,1.176E+01,,,,,,,
16.7,,,,,,,,,,7.900E-02,6.895E+00,,,,,,,
21.2,,,,,,,,,,9.200E-02,4.010E+00,6.423E-01,,,,,,
26.8,,,,,,,,,,8.700E-02,2.213E+00,1.568E+00,,,,,,
40.8,,,,,,,,,3.032E+00,6.800E-02,6.794E-01,6.047E+00,,,,,,
80,,,,,,2.051E-01,,,4.699E-01,3.000E-02,7.100E-02,5.774E+00,,,,,,
132.3,,,,,,1.289E-01,,3.267E+00,2.141E-01,1.600E-02,1.000E-02,7.824E-01,,,,,,
151.4,,,,,,1.090E-01,,1.755E+00,1.817E-01,1.300E-02,7.500E-03,3.122E-01,,,,,,
200,,,,,,7.500E-02,,4.711E-01,1.301E-01,8.300E-03,4.400E-03,2.300E-02,,,,,,
300,,,1.528E-01,,3.332E-01,4.200E-02,,2.793E-01,8.100E-02,4.500E-03,3.700E-03,7.700E-02,,,,,,
600,,,6.400E-02,,1.720E-01,1.400E-02,4.077E+00,2.557E-01,3.200E-02,1.600E-03,2.600E-03,7.900E-02,,,,,,
800,,,4.200E-02,6.822E-01,1.181E-01,9.100E-03,2.974E+00,1.973E-01,2.200E-02,8.800E-04,1.900E-03,5.100E-02,,,,,,
1041,,2.516E-01,2.700E-02,5.980E-01,8.200E-02,5.700E-03,1.754E+00,1.431E-01,1.400E-02,5.500E-04,1.300E-03,3.000E-02,,,,,,
1253.6,6.200E-02,2.069E-01,2.000E-02,5.029E-01,6.100E-02,4.100E-03,1.121E+00,1.101E-01,1.000E-02,4.300E-04,9.900E-04,2.000E-02,,,,,,
1486.6,4.800E-02,1.673E-01,1.500E-02,4.058E-01,4.700E-02,3.000E-03,7.138E-01,8.300E-02,8.200E-03,3.500E-04,7.400E-04,1.300E-02,,,,,,
8047.8,2.700E-03,8.600E-03,7.200E-04,9.800E-03,2.000E-03,1.500E-04,2.300E-03,1.900E-03,3.900E-04,1.400E-05,1.900E-05,6.700E-05,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,6.000E+00,2.000E+00,1.000E+00,3.000E+00,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
