Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,,,,,,,,,
10.2,,,,,,,,,3.286E+00,,,,,,,,,
16.7,,,,,,9.800E-04,,,8.412E-01,,,,,,,,,
21.2,,,,,,4.300E-02,,,4.181E-01,,,,,,,,,
26.8,,,,,,9.000E-02,,,2.113E-01,,,,,,,,,
40.8,,,,,,1.163E-01,,5.307E+01,6.300E-02,,,,,,,,,
80,,,,,,7.100E-02,,7.103E+00,1.100E-02,,,,,,,,,
132.3,,,1.918E-01,,4.297E-01,3.900E-02,,6.671E-01,5.300E-03,,,,,,,,,
151.4,,,1.862E-01,,3.596E-01,3.200E-02,,3.469E-01,4.500E-03,,,,,,,,,
200,,,1.538E-01,,2.840E-01,2.200E-02,7.155E-01,1.438E-01,3.500E-03,,,,,,,,,
300,,,1.002E-01,,2.088E-01,1.200E-02,4.421E+00,1.476E-01,2.300E-03,,,,,,,,,
600,,3.325E-01,3.800E-02,6.733E-01,9.700E-02,4.100E-03,2.937E+00,1.214E-01,1.000E-03,,,,,,,,,
800,8.900E-02,2.745E-01,2.400E-02,6.341E-01,6.600E-02,2.700E-03,1.612E+00,8.800E-02,5.700E-04,,,,,,,,,
1041,6.200E-02,2.073E-01,1.500E-02,4.943E-01,4.500E-02,1.600E-03,8.352E-01,6.200E-02,3.800E-04,,,,,,,,,
1253.6,4.800E-02,1.633E-01,1.100E-02,3.865E-01,3.400E-02,1.200E-03,5.008E-01,4.700E-02,2.800E-04,,,,,,,,,
1486.6,3.700E-02,1.288E-01,8.700E-03,2.949E-01,2.600E-02,9.100E-04,3.040E-01,3.500E-02,2.100E-04,,,,,,,,,
8047.8,1.800E-03,5.500E-03,3.900E-04,4.700E-03,1.000E-03,4.700E-05,6.700E-04,6.400E-04,1.000E-05,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,1.000E+00,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
