Photon Energy / eV,2s,2p,3s,3p,4s,3d,,,,,,,,,,,,
10.2,,,,,6.100E-03,7.399E+00,,,,,,,,,,,,
16.7,,,,,6.000E-02,8.829E+00,,,,,,,,,,,,
21.2,,,,,6.300E-02,9.230E+00,,,,,,,,,,,,
26.8,,,,,6.200E-02,9.453E+00,,,,,,,,,,,,
40.8,,,,,4.700E-02,8.540E+00,,,,,,,,,,,,
80,,,,7.094E-01,2.500E-02,4.047E+00,,,,,,,,,,,,
132.3,,,3.267E-01,1.071E+00,1.300E-02,1.566E+00,,,,,,,,,,,,
151.4,,,2.961E-01,1.039E+00,1.100E-02,1.161E+00,,,,,,,,,,,,
200,,,2.204E-01,8.462E-01,7.000E-03,5.837E-01,,,,,,,,,,,,
300,,,1.310E-01,5.077E-01,3.700E-03,1.900E-01,,,,,,,,,,,,
600,,1.645E+00,4.300E-02,1.415E-01,1.100E-03,2.100E-02,,,,,,,,,,,,
800,1.465E-01,8.235E-01,2.600E-02,7.400E-02,7.100E-04,8.400E-03,,,,,,,,,,,,
1041,9.800E-02,4.205E-01,1.600E-02,3.900E-02,4.600E-04,3.100E-03,,,,,,,,,,,,
1253.6,7.200E-02,2.540E-01,1.100E-02,2.400E-02,3.100E-04,1.600E-03,,,,,,,,,,,,
1486.6,5.300E-02,1.577E-01,8.100E-03,1.500E-02,1.800E-04,8.800E-04,,,,,,,,,,,,
8047.8,1.300E-03,7.500E-04,2.000E-04,9.300E-05,3.600E-06,1.200E-06,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,1.000E+00,5.000E+00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
