Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,,,,,,,,,,,,
21.2,,,,,,,,,1.527E+01,,,,,,,,,
26.8,,,,,,,,,6.600E+00,,,,,,,,,
40.8,,,,,,2.007E-01,,,1.649E+00,,,,,,,,,
80,,,,,,1.624E-01,,2.086E+01,2.996E-01,,,,,,,,,
132.3,,,,,,9.300E-02,,1.857E+00,1.401E-01,,,,,,,,,
151.4,,,,,5.478E-01,7.800E-02,,9.218E-01,1.176E-01,,,,,,,,,
200,,,1.961E-01,,3.840E-01,5.300E-02,,2.936E-01,8.600E-02,,,,,,,,,
300,,,1.325E-01,,2.855E-01,3.000E-02,2.213E-01,2.359E-01,5.100E-02,,,,,,,,,
600,,,5.200E-02,7.160E-01,1.383E-01,1.000E-02,3.798E+00,2.006E-01,2.100E-02,,,,,,,,,
800,,,3.300E-02,6.622E-01,9.400E-02,6.300E-03,2.353E+00,1.506E-01,1.300E-02,,,,,,,,,
1041,7.200E-02,2.334E-01,2.200E-02,5.588E-01,6.500E-02,4.000E-03,1.301E+00,1.076E-01,9.300E-03,,,,,,,,,
1253.6,5.500E-02,1.877E-01,1.600E-02,4.530E-01,4.800E-02,3.000E-03,8.048E-01,8.200E-02,7.300E-03,,,,,,,,,
1486.6,4.300E-02,1.497E-01,1.200E-02,3.564E-01,3.700E-02,2.200E-03,5.021E-01,6.100E-02,5.200E-03,,,,,,,,,
8047.8,2.300E-03,7.000E-03,5.500E-04,7.200E-03,1.500E-03,1.000E-04,1.300E-03,1.200E-03,2.400E-04,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,6.000E+00,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
